No.,Time,Source,Destination,Protocol,Length,ActionType
0,31,127.0.0.1,127.0.0.1,TCP,43,2
1,31,127.0.0.1,127.0.0.1,TCP,157,5
2,31,127.0.0.1,127.0.0.1,TCP,157,5
3,31,127.0.0.1,127.0.0.1,TCP,156,5
4,31,127.0.0.1,127.0.0.1,TCP,157,5
5,31,127.0.0.1,127.0.0.1,TCP,156,5
6,31,127.0.0.1,127.0.0.1,TCP,156,5
7,31,127.0.0.1,127.0.0.1,TCP,137,4
8,31,127.0.0.1,127.0.0.1,TCP,43,2
9,31,127.0.0.1,127.0.0.1,TCP,157,5
10,31,127.0.0.1,127.0.0.1,TCP,157,5
11,31,127.0.0.1,127.0.0.1,TCP,156,5
12,31,127.0.0.1,127.0.0.1,TCP,157,5
13,31,127.0.0.1,127.0.0.1,TCP,156,5
14,31,127.0.0.1,127.0.0.1,TCP,156,5
15,31,127.0.0.1,127.0.0.1,TCP,137,4
16,32,127.0.0.1,127.0.0.1,TCP,43,2
17,32,127.0.0.1,127.0.0.1,TCP,157,5
18,32,127.0.0.1,127.0.0.1,TCP,157,5
19,32,127.0.0.1,127.0.0.1,TCP,156,5
20,32,127.0.0.1,127.0.0.1,TCP,157,5
21,32,127.0.0.1,127.0.0.1,TCP,156,5
22,32,127.0.0.1,127.0.0.1,TCP,156,5
23,32,127.0.0.1,127.0.0.1,TCP,137,4
24,32,127.0.0.1,127.0.0.1,TCP,43,2
25,32,127.0.0.1,127.0.0.1,TCP,157,5
26,32,127.0.0.1,127.0.0.1,TCP,157,5
27,32,127.0.0.1,127.0.0.1,TCP,156,5
28,32,127.0.0.1,127.0.0.1,TCP,157,5
29,32,127.0.0.1,127.0.0.1,TCP,156,5
30,32,127.0.0.1,127.0.0.1,TCP,156,5
31,32,127.0.0.1,127.0.0.1,TCP,137,4
32,32,127.0.0.1,127.0.0.1,TCP,43,2
33,32,127.0.0.1,127.0.0.1,TCP,157,5
34,32,127.0.0.1,127.0.0.1,TCP,157,5
35,32,127.0.0.1,127.0.0.1,TCP,156,5
36,32,127.0.0.1,127.0.0.1,TCP,157,5
37,32,127.0.0.1,127.0.0.1,TCP,156,5
38,32,127.0.0.1,127.0.0.1,TCP,156,5
39,32,127.0.0.1,127.0.0.1,TCP,137,4
40,32,127.0.0.1,127.0.0.1,TCP,43,2
41,32,127.0.0.1,127.0.0.1,TCP,157,5
42,32,127.0.0.1,127.0.0.1,TCP,157,5
43,32,127.0.0.1,127.0.0.1,TCP,156,5
44,32,127.0.0.1,127.0.0.1,TCP,157,5
45,32,127.0.0.1,127.0.0.1,TCP,156,5
46,32,127.0.0.1,127.0.0.1,TCP,156,5
47,32,127.0.0.1,127.0.0.1,TCP,137,4
48,32,127.0.0.1,127.0.0.1,TCP,43,2
49,32,127.0.0.1,127.0.0.1,TCP,157,5
50,32,127.0.0.1,127.0.0.1,TCP,157,5
