No.,Timestamp,Source,Destination,Protocol,Length,TimeToResp,Ratio,ActionType
0,1603543625504,127.0.0.1,127.0.0.1,TCP,2,305,0.0,4
1,1603543625652,127.0.0.1,127.0.0.1,TCP,2,148,0.0,2
2,1603543625659,127.0.0.1,127.0.0.1,TCP,11,4,1.0,5
3,1603543631341,127.0.0.1,127.0.0.1,TCP,0,5678,0.0,0
4,1603543631343,127.0.0.1,127.0.0.1,TCP,2,2,0.0,4
5,1603543631404,127.0.0.1,127.0.0.1,TCP,2,61,0.0,1
6,1603543631407,127.0.0.1,127.0.0.1,TCP,11,2,1.0,5
7,1603543631736,127.0.0.1,127.0.0.1,TCP,0,329,0.0,0
8,1603543631738,127.0.0.1,127.0.0.1,TCP,2,2,0.0,4
9,1603543631751,127.0.0.1,127.0.0.1,TCP,2,13,0.0,1
10,1603543631754,127.0.0.1,127.0.0.1,TCP,11,3,1.0,5
11,1603543631787,127.0.0.1,127.0.0.1,TCP,2,33,0.0,2
12,1603543631790,127.0.0.1,127.0.0.1,TCP,2,2,0.0,4
13,1603543631814,127.0.0.1,127.0.0.1,TCP,2,23,0.0,2
14,1603543631818,127.0.0.1,127.0.0.1,TCP,11,3,1.0,5
15,1603543632023,127.0.0.1,127.0.0.1,TCP,0,205,0.0,0
16,1603543632025,127.0.0.1,127.0.0.1,TCP,2,2,0.0,4
17,1603543632036,127.0.0.1,127.0.0.1,TCP,2,10,0.0,1
18,1603543632045,127.0.0.1,127.0.0.1,TCP,11,9,1.0,5
19,1603543632268,127.0.0.1,127.0.0.1,TCP,0,223,0.0,0
20,1603543632270,127.0.0.1,127.0.0.1,TCP,2,2,0.0,4
21,1603543632283,127.0.0.1,127.0.0.1,TCP,2,13,0.0,1
22,1603543632285,127.0.0.1,127.0.0.1,TCP,11,2,1.0,5
23,1603543632314,127.0.0.1,127.0.0.1,TCP,2,29,0.0,2
24,1603543632324,127.0.0.1,127.0.0.1,TCP,2,8,0.0,4
25,1603543632328,127.0.0.1,127.0.0.1,TCP,2,4,0.0,2
26,1603543632330,127.0.0.1,127.0.0.1,TCP,11,2,1.0,5
27,1603543632474,127.0.0.1,127.0.0.1,TCP,0,144,0.0,0
28,1603543632476,127.0.0.1,127.0.0.1,TCP,2,2,0.0,4
29,1603543632483,127.0.0.1,127.0.0.1,TCP,2,7,0.0,1
30,1603543632486,127.0.0.1,127.0.0.1,TCP,11,2,1.0,5
31,1603543632609,127.0.0.1,127.0.0.1,TCP,0,119,0.0,0
32,1603543632611,127.0.0.1,127.0.0.1,TCP,2,1,0.0,4
33,1603543632625,127.0.0.1,127.0.0.1,TCP,2,14,0.0,1
34,1603543632627,127.0.0.1,127.0.0.1,TCP,11,2,1.0,5
35,1603543632647,127.0.0.1,127.0.0.1,TCP,2,20,0.0,2
36,1603543632650,127.0.0.1,127.0.0.1,TCP,2,2,0.0,4
37,1603543632839,127.0.0.1,127.0.0.1,TCP,2,189,0.0,2
38,1603543632856,127.0.0.1,127.0.0.1,TCP,11,2,1.0,5
39,1603543633040,127.0.0.1,127.0.0.1,TCP,0,184,0.0,0
40,1603543633042,127.0.0.1,127.0.0.1,TCP,2,2,0.0,4
41,1603543633055,127.0.0.1,127.0.0.1,TCP,2,13,0.0,1
42,1603543633057,127.0.0.1,127.0.0.1,TCP,11,1,1.0,5
43,1603543633228,127.0.0.1,127.0.0.1,TCP,0,171,0.0,0
44,1603543633230,127.0.0.1,127.0.0.1,TCP,2,2,0.0,4
45,1603543633244,127.0.0.1,127.0.0.1,TCP,2,14,0.0,1
46,1603543633246,127.0.0.1,127.0.0.1,TCP,11,2,1.0,5
47,1603543633305,127.0.0.1,127.0.0.1,TCP,2,59,0.0,2
