id,pressure_numeric,size_numeric,touchmajor_numeric,touchminor_numeric,duration_numeric,flytime_numeric,shake_numeric,orientation_numeric,type_numeric,class
1,0.6425,0.134375,240.97598,240.97598,100,0,12.773475,1,1,95f7f7d8b82fbe3a
2,0.6225,0.134375,240.97598,240.97598,83,196,96.99834,1,1,95f7f7d8b82fbe3a
3,0.5875,0.134766,233.44885,233.44885,108,408,61.891148,1,1,95f7f7d8b82fbe3a
4,0.610417,0.135417,230.9398,230.9398,83,222,31.538433,1,1,95f7f7d8b82fbe3a
5,0.507143,0.125,223.77112,223.77112,117,1242,0.60382,1,1,95f7f7d8b82fbe3a
6,0.61875,0.134766,240.97597,240.97597,110,153,56.682148,1,1,95f7f7d8b82fbe3a
7,0.635417,0.140625,240.97597,240.97597,83,588,4.191319,1,1,95f7f7d8b82fbe3a
8,0.615,0.13125,240.97598,240.97598,76,221,41.05748,1,1,95f7f7d8b82fbe3a
9,0.578571,0.118304,206.56628,206.56628,108,331,13.771375,1,1,95f7f7d8b82fbe3a
10,0.6,0.128125,216.88919,216.88919,99,70,106.46772,1,1,95f7f7d8b82fbe3a
11,0.5925,0.125,240.97598,240.97598,90,0,50.095795,1,1,95f7f7d8b82fbe3a
12,0.560417,0.119792,220.90364,220.90364,84,292,49.89632,1,1,95f7f7d8b82fbe3a
13,0.601563,0.136719,240.97597,240.97597,99,491,73.05819,1,1,95f7f7d8b82fbe3a
14,0.6125,0.130208,230.9398,230.9398,74,735,32.88079,1,1,95f7f7d8b82fbe3a
15,0.64375,0.134766,233.44884,233.44884,98,366,116.5576,1,1,95f7f7d8b82fbe3a
16,0.5875,0.113281,188.28615,188.28615,101,136,96.59906,1,1,95f7f7d8b82fbe3a
17,0.6125,0.119792,220.90364,220.90364,91,306,8.582075,1,1,95f7f7d8b82fbe3a
18,0.641667,0.130208,230.9398,230.9398,75,350,37.837307,1,1,95f7f7d8b82fbe3a
19,0.6375,0.132813,240.97597,240.97597,109,0,42.85825,1,2,95f7f7d8b82fbe3a
20,0.629687,0.134766,233.44885,233.44885,135,152,28.341015,1,2,95f7f7d8b82fbe3a
21,0.580357,0.133929,232.37354,232.37354,91,289,5.189141,1,2,95f7f7d8b82fbe3a
22,0.623437,0.132813,240.97597,240.97597,110,536,58.87759,1,2,95f7f7d8b82fbe3a
23,0.667188,0.136719,240.97597,240.97597,116,111,69.03288,1,2,95f7f7d8b82fbe3a
