id,datetime,from,to,communication,quality
0,2009-01-01 00:00:00,Ios,Ios,Call,High
1,2009-01-01 00:15:00,Android,Ios,Message,Low
2,2009-01-01 00:30:00,Android,Ios,Message,Low
3,2009-01-01 00:45:00,Android,Android,Message,High
4,2009-01-01 01:00:00,Ios,Android,Call,High
5,2009-01-01 01:15:00,Ios,Android,Message,Low
6,2009-01-01 01:30:00,Android,Android,Call,Low
7,2009-01-01 01:45:00,Ios,Android,Call,Low
8,2009-01-01 02:00:00,Android,Android,Message,Low
9,2009-01-01 02:15:00,Android,Ios,Call,High
10,2009-01-01 02:30:00,Ios,Android,Message,Low
11,2009-01-01 02:45:00,Ios,Android,Call,Low
12,2009-01-01 03:00:00,Android,Ios,Call,High
13,2009-01-01 03:15:00,Android,Android,Call,Low
14,2009-01-01 03:30:00,Ios,Android,Message,Low
15,2009-01-01 03:45:00,Ios,Ios,Message,High
16,2009-01-01 04:00:00,Android,Ios,Call,High
17,2009-01-01 04:15:00,Ios,Ios,Call,High
18,2009-01-01 04:30:00,Ios,Android,Call,Low
19,2009-01-01 04:45:00,Android,Ios,Message,Low
20,2009-01-01 05:00:00,Android,Ios,Message,Low
21,2009-01-01 05:15:00,Ios,Android,Message,Low
22,2009-01-01 05:30:00,Android,Ios,Message,High
23,2009-01-01 05:45:00,Ios,Android,Call,High
24,2009-01-01 06:00:00,Ios,Ios,Call,Low
25,2009-01-01 06:15:00,Ios,Ios,Call,High
26,2009-01-01 06:30:00,Android,Ios,Message,Low
27,2009-01-01 06:45:00,Android,Android,Call,Low
28,2009-01-01 07:00:00,Ios,Ios,Call,Low
29,2009-01-01 07:15:00,Android,Ios,Message,High
30,2009-01-01 07:30:00,Ios,Ios,Call,Low
31,2009-01-01 07:45:00,Android,Ios,Call,Low
32,2009-01-01 08:00:00,Ios,Ios,Call,Low
33,2009-01-01 08:15:00,Android,Ios,Call,High
34,2009-01-01 08:30:00,Ios,Android,Message,High
35,2009-01-01 08:45:00,Android,Ios,Message,High
36,2009-01-01 09:00:00,Android,Ios,Call,High
37,2009-01-01 09:15:00,Android,Android,Message,High
38,2009-01-01 09:30:00,Ios,Android,Message,Low
39,2009-01-01 09:45:00,Android,Ios,Message,Low
40,2009-01-01 10:00:00,Ios,Android,Message,Low
41,2009-01-01 10:15:00,Ios,Ios,Call,High
42,2009-01-01 10:30:00,Android,Android,Call,High
43,2009-01-01 10:45:00,Ios,Ios,Call,Low
44,2009-01-01 11:00:00,Android,Ios,Call,Low
