"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.43.215","52.113.194.133","TCP","55","49262  >  443 [ACK] Seq=1 Ack=1 Win=258 Len=1 [TCP segment of a reassembled PDU]"
"2","0.041435","52.113.194.133","192.168.43.215","TCP","66","443  >  49262 [ACK] Seq=1 Ack=2 Win=2051 Len=0 SLE=1 SRE=2"
"3","29.823995","192.168.43.215","52.113.194.133","TLSv1.2","258","Ignored Unknown Record"
"4","29.824061","192.168.43.215","52.113.194.133","TLSv1.2","100","Application Data"
"5","29.857694","52.113.194.133","192.168.43.215","TCP","54","443  >  49262 [ACK] Seq=1 Ack=252 Win=2050 Len=0"
"6","29.858513","52.113.194.133","192.168.43.215","TLSv1.2","100","Application Data"
"7","29.908235","192.168.43.215","52.113.194.133","TCP","54","49262  >  443 [ACK] Seq=252 Ack=47 Win=258 Len=0"
"8","29.910448","52.113.194.133","192.168.43.215","TCP","1354","443  >  49262 [ACK] Seq=47 Ack=252 Win=2050 Len=1300 [TCP segment of a reassembled PDU]"
"9","29.910599","52.113.194.133","192.168.43.215","TLSv1.2","336","Application Data"
"10","29.910680","192.168.43.215","52.113.194.133","TCP","54","49262  >  443 [ACK] Seq=252 Ack=1629 Win=258 Len=0"
"11","29.910892","52.113.194.133","192.168.43.215","TCP","1354","443  >  49262 [ACK] Seq=1629 Ack=252 Win=2050 Len=1300 [TCP segment of a reassembled PDU]"
"12","29.912204","52.113.194.133","192.168.43.215","TCP","1354","443  >  49262 [ACK] Seq=2929 Ack=252 Win=2050 Len=1300 [TCP segment of a reassembled PDU]"
"13","29.912253","192.168.43.215","52.113.194.133","TCP","54","49262  >  443 [ACK] Seq=252 Ack=4229 Win=258 Len=0"
"14","29.912445","52.113.194.133","192.168.43.215","TCP","1354","443  >  49262 [ACK] Seq=4229 Ack=252 Win=2050 Len=1300 [TCP segment of a reassembled PDU]"
"15","29.912704","52.113.194.133","192.168.43.215","TCP","1354","443  >  49262 [ACK] Seq=5529 Ack=252 Win=2050 Len=1300 [TCP segment of a reassembled PDU]"
"16","29.912732","192.168.43.215","52.113.194.133","TCP","54","49262  >  443 [ACK] Seq=252 Ack=6829 Win=258 Len=0"
"17","29.912980","52.113.194.133","192.168.43.215","TCP","1354","443  >  49262 [ACK] Seq=6829 Ack=252 Win=2050 Len=1300 [TCP segment of a reassembled PDU]"
"18","29.913244","52.113.194.133","192.168.43.215","TCP","1354","443  >  49262 [ACK] Seq=8129 Ack=252 Win=2050 Len=1300 [TCP segment of a reassembled PDU]"
"19","29.913279","192.168.43.215","52.113.194.133","TCP","54","49262  >  443 [ACK] Seq=252 Ack=9429 Win=258 Len=0"
"20","29.913380","52.113.194.133","192.168.43.215","TLSv1.2","484","Application Data"
"21","29.914117","52.113.194.133","192.168.43.215","TCP","1354","443  >  49262 [ACK] Seq=9859 Ack=252 Win=2050 Len=1300 [TCP segment of a reassembled PDU]"
"22","29.914144","192.168.43.215","52.113.194.133","TCP","54","49262  >  443 [ACK] Seq=252 Ack=11159 Win=258 Len=0"
"23","29.914290","52.113.194.133","192.168.43.215","TCP","1354","443  >  49262 [ACK] Seq=11159 Ack=252 Win=2050 Len=1300 [TCP segment of a reassembled PDU]"
"24","29.914544","52.113.194.133","192.168.43.215","TCP","1354","443  >  49262 [ACK] Seq=12459 Ack=252 Win=2050 Len=1300 [TCP segment of a reassembled PDU]"
"25","29.914571","192.168.43.215","52.113.194.133","TCP","54","49262  >  443 [ACK] Seq=252 Ack=13759 Win=258 Len=0"
"26","29.914685","52.113.194.133","192.168.43.215","TLSv1.2","343","Application Data"
"27","29.914856","52.113.194.133","192.168.43.215","TCP","1354","443  >  49262 [ACK] Seq=14048 Ack=252 Win=2050 Len=1300 [TCP segment of a reassembled PDU]"
"28","29.914883","192.168.43.215","52.113.194.133","TCP","54","49262  >  443 [ACK] Seq=252 Ack=15348 Win=258 Len=0"
"29","29.915131","52.113.194.133","192.168.43.215","TCP","1354","443  >  49262 [ACK] Seq=15348 Ack=252 Win=2050 Len=1300 [TCP segment of a reassembled PDU]"
"30","29.915389","52.113.194.133","192.168.43.215","TCP","1354","443  >  49262 [ACK] Seq=16648 Ack=252 Win=2050 Len=1300 [TCP segment of a reassembled PDU]"
"31","29.915422","192.168.43.215","52.113.194.133","TCP","54","49262  >  443 [ACK] Seq=252 Ack=17948 Win=258 Len=0"
"32","29.916256","52.113.194.133","192.168.43.215","TCP","1354","443  >  49262 [ACK] Seq=17948 Ack=252 Win=2050 Len=1300 [TCP segment of a reassembled PDU]"
"33","29.916354","52.113.194.133","192.168.43.215","TCP","1354","443  >  49262 [ACK] Seq=19248 Ack=252 Win=2050 Len=1300 [TCP segment of a reassembled PDU]"
"34","29.916389","192.168.43.215","52.113.194.133","TCP","54","49262  >  443 [ACK] Seq=252 Ack=20548 Win=258 Len=0"
"35","29.916490","52.113.194.133","192.168.43.215","TLSv1.2","141","Application Data"
"36","29.917185","52.113.194.133","192.168.43.215","TLSv1.2","92","Application Data"
"37","29.917236","192.168.43.215","52.113.194.133","TCP","54","49262  >  443 [ACK] Seq=252 Ack=20673 Win=258 Len=0"
