"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","127.0.0.1","127.0.0.1","TCP","56","51944  >  33333 [SYN] Seq=0 Win=8192 Len=0 MSS=65495 WS=256 SACK_PERM=1"
"2","0.000057","127.0.0.1","127.0.0.1","TCP","56","33333  >  51944 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=65495 WS=256 SACK_PERM=1"
"3","0.000225","127.0.0.1","127.0.0.1","TCP","44","51944  >  33333 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"4","0.094547","127.0.0.1","127.0.0.1","TLSv1.2","256","Client Hello"
"5","0.094601","127.0.0.1","127.0.0.1","TCP","44","33333  >  51944 [ACK] Seq=1 Ack=213 Win=65536 Len=0"
"6","0.103829","127.0.0.1","127.0.0.1","TCP","1504","33333  >  51944 [ACK] Seq=1 Ack=213 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"7","0.103842","127.0.0.1","127.0.0.1","TLSv1.2","268","Server Hello, Certificate, Server Key Exchange, Server Hello Done"
"8","0.103904","127.0.0.1","127.0.0.1","TCP","44","51944  >  33333 [ACK] Seq=213 Ack=1685 Win=65536 Len=0"
"9","0.145321","127.0.0.1","127.0.0.1","TLSv1.2","183","Client Key Exchange"
"10","0.145373","127.0.0.1","127.0.0.1","TCP","44","33333  >  51944 [ACK] Seq=1685 Ack=352 Win=65536 Len=0"
"11","0.164241","127.0.0.1","127.0.0.1","TLSv1.2","50","Change Cipher Spec"
"12","0.164298","127.0.0.1","127.0.0.1","TCP","44","33333  >  51944 [ACK] Seq=1685 Ack=358 Win=65536 Len=0"
"13","0.198366","127.0.0.1","127.0.0.1","TLSv1.2","129","Encrypted Handshake Message"
"14","0.198419","127.0.0.1","127.0.0.1","TCP","44","33333  >  51944 [ACK] Seq=1685 Ack=443 Win=65280 Len=0"
"15","0.198879","127.0.0.1","127.0.0.1","TLSv1.2","50","Change Cipher Spec"
"16","0.198935","127.0.0.1","127.0.0.1","TCP","44","51944  >  33333 [ACK] Seq=443 Ack=1691 Win=65536 Len=0"
"17","0.199225","127.0.0.1","127.0.0.1","TLSv1.2","129","Encrypted Handshake Message"
"18","0.199244","127.0.0.1","127.0.0.1","TCP","44","51944  >  33333 [ACK] Seq=443 Ack=1776 Win=65536 Len=0"
"19","0.443846","127.0.0.1","127.0.0.1","TLSv1.2","177","Application Data"
"20","0.443904","127.0.0.1","127.0.0.1","TCP","44","33333  >  51944 [ACK] Seq=1776 Ack=576 Win=65280 Len=0"
"21","0.444122","127.0.0.1","127.0.0.1","TLSv1.2","113","Application Data"
"22","0.444145","127.0.0.1","127.0.0.1","TCP","44","33333  >  51944 [ACK] Seq=1776 Ack=645 Win=65024 Len=0"
"23","0.450014","127.0.0.1","127.0.0.1","TCP","1504","33333  >  51944 [ACK] Seq=1776 Ack=645 Win=65024 Len=1460 [TCP segment of a reassembled PDU]"
"24","0.450026","127.0.0.1","127.0.0.1","TCP","1504","33333  >  51944 [ACK] Seq=3236 Ack=645 Win=65024 Len=1460 [TCP segment of a reassembled PDU]"
"25","0.450037","127.0.0.1","127.0.0.1","TLSv1.2","1289","Application Data"
"26","0.450095","127.0.0.1","127.0.0.1","TCP","44","51944  >  33333 [ACK] Seq=645 Ack=5941 Win=65536 Len=0"
"27","0.450508","127.0.0.1","127.0.0.1","TCP","1504","33333  >  51944 [ACK] Seq=5941 Ack=645 Win=65024 Len=1460 [TCP segment of a reassembled PDU]"
"28","0.450520","127.0.0.1","127.0.0.1","TCP","1504","33333  >  51944 [ACK] Seq=7401 Ack=645 Win=65024 Len=1460 [TCP segment of a reassembled PDU]"
"29","0.450530","127.0.0.1","127.0.0.1","TCP","1504","33333  >  51944 [ACK] Seq=8861 Ack=645 Win=65024 Len=1460 [TCP segment of a reassembled PDU]"
"30","0.450540","127.0.0.1","127.0.0.1","TCP","1504","33333  >  51944 [ACK] Seq=10321 Ack=645 Win=65024 Len=1460 [TCP segment of a reassembled PDU]"
