No.,Time,Source,Destination,Protocol,Length,Info
1,0.0,192.168.43.215,52.113.194.133,TCP,66,54624  >  443 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1
2,0.074818,52.113.194.133,192.168.43.215,TCP,66,"443  >  54624 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1300 WS=256 SACK_PERM=1"
3,0.075013,192.168.43.215,52.113.194.133,TCP,54,54624  >  443 [ACK] Seq=1 Ack=1 Win=66048 Len=0
4,0.075816,192.168.43.215,52.113.194.133,TLSv1.2,620,Client Hello
5,0.11757100000000001,52.113.194.133,192.168.43.215,TCP,54,443  >  54624 [ACK] Seq=1 Ack=567 Win=261888 Len=0
6,0.119835,52.113.194.133,192.168.43.215,TCP,1354,443  >  54624 [ACK] Seq=1 Ack=567 Win=261888 Len=1300 [TCP segment of a reassembled PDU]
7,0.120577,52.113.194.133,192.168.43.215,TCP,1354,443  >  54624 [ACK] Seq=1301 Ack=567 Win=261888 Len=1300 [TCP segment of a reassembled PDU]
8,0.120678,192.168.43.215,52.113.194.133,TCP,54,54624  >  443 [ACK] Seq=567 Ack=2601 Win=66048 Len=0
9,0.120796,52.113.194.133,192.168.43.215,TCP,1354,443  >  54624 [ACK] Seq=2601 Ack=567 Win=261888 Len=1300 [TCP segment of a reassembled PDU]
10,0.120851,52.113.194.133,192.168.43.215,TCP,1354,443  >  54624 [ACK] Seq=3901 Ack=567 Win=261888 Len=1300 [TCP segment of a reassembled PDU]
11,0.12088499999999999,192.168.43.215,52.113.194.133,TCP,54,54624  >  443 [ACK] Seq=567 Ack=5201 Win=66048 Len=0
12,0.120948,52.113.194.133,192.168.43.215,TLSv1.2,879,"Server Hello, Certificate, Certificate Status, Server Key Exchange, Server Hello Done"
13,0.139845,192.168.43.215,52.113.194.133,TLSv1.2,212,"Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
14,0.140526,192.168.43.215,52.113.194.133,TLSv1.2,153,Application Data
