captured,sex_observer,sex_grasshopper,type_background,aligned_lines,jnd_color_hum,jnd_lum_hum,grasshopper_density,id_observer,id_grasshopper
1,man,female,natural,si,1.123094701,0.76528344,5,inicioadrian,salta02
1,man,male,natural,no,1.450200586,2.792899674,5,inicioadrian,salta06
1,man,male,natural,no,1.621686078,2.651540162,5,inicioadrian,salta01
1,man,male,natural,si,0.625957337,10.14325101,6,inicioadrian,salta04
0,man,male,natural,no,0.66412797,8.397713886,6,inicioadrian,salta03
1,man,female,natural,no,0.490625932,8.928094603,6,inicioadrian,salta05
1,man,male,artificial,si,0.853700619,0.697964943,6,inicioadrian,salta04
1,man,female,artificial,si,0.95453203,3.977855858,6,inicioadrian,salta02
0,man,male,artificial,si,0.853700619,0.697964943,6,inicioadrian,salta04
0,man,female,artificial,si,0.95453203,3.977855858,6,inicioadrian,salta02
0,man,female,artificial,no,0.974313479,3.51830258,6,inicioadrian,salta02
1,man,male,artificial,no,0.676915979,1.826300489,6,inicioadrian,salta04
1,man,male,natural,si,0.369436616,16.26135266,4,inicioadrian,salta04
1,man,male,natural,si,0.369436616,16.26135266,4,inicioadrian,salta04
1,man,female,natural,no,0.558735691,18.52282784,4,inicioadrian,salta05
1,man,male,natural,no,0.239943947,14.51581554,4,inicioadrian,salta03
1,man,male,artificial,si,0.948951907,0.676861057,4,inicioadrian,salta04
1,man,female,artificial,si,0.90947641,2.603029858,4,inicioadrian,salta02
1,man,male,artificial,si,0.948951907,0.676861057,4,inicioadrian,salta04
1,man,male,artificial,no,0.936627004,1.084230331,4,inicioadrian,salta01
1,man,male,artificial,si,0.853700619,0.697964943,5,IvoEdelaar,salta04
1,man,female,artificial,si,0.95453203,3.977855858,5,IvoEdelaar,salta02
0,man,male,artificial,si,0.853700619,0.697964943,5,IvoEdelaar,salta04
1,man,female,artificial,si,0.95453203,3.977855858,5,IvoEdelaar,salta02
1,man,male,artificial,no,0.493827583,3.378938673,5,IvoEdelaar,salta09
0,man,male,natural,no,2.013884756,17.85857809,4,IvoEdelaar,salta03
1,man,male,natural,no,0.597495829,12.48636637,4,IvoEdelaar,salta05
1,man,male,natural,no,0.264532932,8.53116475,4,IvoEdelaar,salta09
1,man,female,natural,no,0.605808374,14.79774598,4,IvoEdelaar,salta10
1,man,male,natural,si,0.369436616,16.26135266,3,IvoEdelaar,salta04
1,man,male,natural,si,0.369436616,16.26135266,3,IvoEdelaar,salta04
1,man,female,natural,no,0.473154799,15.58713185,3,IvoEdelaar,salta10
1,man,male,artificial,si,0.948951907,0.676861057,7,IvoEdelaar,salta04
1,man,female,artificial,si,0.90947641,2.603029858,7,IvoEdelaar,salta02
1,man,male,artificial,si,0.948951907,0.676861057,7,IvoEdelaar,salta04
1,man,male,artificial,no,0.936627004,1.084230331,7,IvoEdelaar,salta01
1,man,male,artificial,no,1.032591784,2.462917664,7,IvoEdelaar,salta04
1,man,male,artificial,no,2.446083793,5.067701919,7,IvoEdelaar,salta03
1,man,female,artificial,no,0.844581794,2.14347658,7,IvoEdelaar,salta02
0,man,male,artificial,si,0.559617253,4.519725986,7,IvoEdelaar,salta08
1,man,female,artificial,si,0.971427733,0.846293088,7,IvoEdelaar,salta02
0,man,male,artificial,si,1.015902798,2.433597826,7,IvoEdelaar,salta04
0,man,female,artificial,si,0.909380813,0.38673981,7,IvoEdelaar,salta02
1,man,female,artificial,no,1.343115997,3.162222418,7,IvoEdelaar,salta10
0,man,male,artificial,no,0.73121539,1.481211568,7,IvoEdelaar,salta01
1,man,male,artificial,no,0.325752954,3.035309673,7,IvoEdelaar,salta08
